title,company,location,job_type,date_posted
Conducteurs Travaux Terrassement,GPF,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Ingénieur travaux electricité,GBG,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Chargé de recrutement,Africa Global Logistics,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Controleur de gestion,RPORTH,"Dakar, Sénégal",CDD,Publié le 5 mai 2025
Agents de nettoyage,Amine Group,"Liberté 6, Dakar, Sénégal",CDI,Publié le 5 mai 2025
Vidéaste / Pilote de drone,Amine Group,"Liberté 6, Dakar, Sénégal",CDI,Publié le 5 mai 2025
Agent Commercial Logistique,Holly Trans Limited Sénégal,Médina rue 12 X Malick sy à coté de la mosquée Soninké.,CDD,Publié le 5 mai 2025
Developpeur Web,"Prepo SASVOTRE SUCCES, NOTRE MISSION","Keur Massar, Dakar, Sénégal",Stage,Publié le 5 mai 2025
Chauffeur VTC Yango et Heetch,Flotte Plus Sénégal,"Dakar, Sénégal",Prestation de Services,Publié le 5 mai 2025
Concepteur/Développeur Contenus Marketing par E-mail,Chemtra Group,"Dakar, Sénégal",CDD,Publié le 4 mai 2025
10 Enquêteurs,Une entreprise de la place,"Dakar, Sénégal",Freelance,Publié le 4 mai 2025
Mécanicien de Précision – Usine de Sindia,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,Sindia dans la région de Thiès,CDD,Publié le 3 mai 2025
Chargé de projet Web – Agence Digitale / Dakar,Senegal Leads,"Point E, Dakar",CDD,Publié le 30 avril 2025
Assistant Livreur,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Dakar, Sénégal",CDD,Publié le 29 avril 2025
Graphiste Print confirmé,Elite RHCabinet de recrutement,"Dakar, Sénégal",Prestation de Services,Publié le 29 avril 2025
Commercial (H/F) BtoB,WEBTEL,"Dakar, Sénégal",CDD,Publié le 28 avril 2025
Magasinier,HEMISPHERE SARL,"Dakar, Sénégal",CDD,Publié le 28 avril 2025
Assistant(e) en Communication,Afric Management,"Dakar, Sénégal",CDD,Publié le 28 avril 2025
Représentant Commercial Partenaires Commerçants,Brio,"Dakar, Sénégal",Prestation de Services,Publié le 25 avril 2025
Agent de Sécurité,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Cambérene, Dakar",CDD,Publié le 25 avril 2025
Mécanicien Soudeur,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 25 avril 2025
Superviseur Audit Interne,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Dakar, Sénégal",CDD,Publié le 25 avril 2025
Agent d’Inventaire de Stock Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Sindia, Mbour, Sénégal",CDD,Publié le 25 avril 2025
